Fecha,Jugador,Cofre
2026-03-02 11:51:21,manuelhh,Cripta de nivel 5
2026-03-02 11:51:25,manuelhh,Cripta de nivel 20
2026-03-02 11:51:28,lau,Cripta de nivel 10
2026-03-02 11:51:32,lau,Cripta de nivel 10
2026-03-02 11:51:36,soulei970,Cripta de nivel 15
2026-03-02 11:51:41,soulei970,Cripta de nivel 25
2026-03-02 11:51:44,soulei970,Cripta de nivel 25
2026-03-02 11:51:48,Boy Name.,-Ciudadela de nivel 20
2026-03-02 11:51:53,Boy Name.,-Ciudadela de nivel 20
2026-03-02 11:51:57,lau,Riqueza del clan
2026-03-02 11:52:02,lau,Riqueza del clan
2026-03-02 11:52:06,lau,Riqueza del clan
2026-03-02 11:52:13,lau,Riqueza del clan
2026-03-02 11:52:21,Ares,"Recompensa personal de ""Unién del triunfo"""
2026-03-02 11:52:25,Ares,"Recompensa personal de ""Unién del triunfo"""
2026-03-02 11:52:31,Ares,"Recompensa personal de ""Unién del triunfo"""
2026-03-02 11:52:35,Ares,"Recompensa personal de ""Unién del triunfo"""
2026-03-02 11:52:40,Ares,"Recompensa personal de ""Unién del triunfo"""
2026-03-02 11:52:45,Mared,Cripta épica de nivel 15
2026-03-02 11:52:49,Mared,Cripta de nivel 15
2026-03-02 11:52:53,Ares,Cripta rara de nivel10
2026-03-02 11:52:56,Ares,Cripta de nivel 10
2026-03-02 11:53:01,Ares,Cripta épica de nivel 20
2026-03-02 11:53:05,Ares,Cripta de nivel 20
2026-03-02 11:53:10,Mared,Cripta de nivel 15
2026-03-02 11:53:14,Mared,Cripta de nivel 5
2026-03-02 11:53:18,Mared,Cripta de nivel 15
2026-03-02 11:53:22,Ares,Cripta de nivel 10
2026-03-02 11:53:26,Ares,Cripta de nivel 15
2026-03-02 11:53:30,Ares,Cripta de nivel 20
2026-03-02 11:53:34,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:53:38,LadyHawke,‘Cripta de nivel 25
2026-03-02 11:53:42,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:53:45,LadyHawke,‘Cripta de nivel 15
2026-03-02 11:53:51,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:53:55,LadyHawke,‘Cripta de nivel 10
2026-03-02 11:54:00,LadyHawke,‘Cripta de nivel 5
2026-03-02 11:54:04,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:54:08,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:54:12,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:54:16,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:54:20,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:54:24,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:54:28,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:54:34,Roca,Cripta de nivel 10
2026-03-02 11:54:39,Roca,Cripta épica de nivel 20
2026-03-02 11:54:43,LadyHawke,‘Cripta de nivel 20
2026-03-02 11:54:48,Roca,Cripta de nivel 20
2026-03-02 11:54:51,LadyHawke,‘Cripta de nivel 25
2026-03-02 11:54:56,WENDY,Cripta de nivel 10
2026-03-02 11:55:00,WENDY,Cripta épica de nivel 15
2026-03-02 12:52:28,‘Cheska,Cripta épica de nivel 15
2026-03-02 12:52:39,‘Cheska,Cripta épica de nivel 15
2026-03-02 12:52:53,‘Cheska,Cripta de nivel 15
2026-03-02 12:53:04,‘Cheska,Cripta de nivel 15
2026-03-02 12:53:21,Mare,Cripta de nivel 25
2026-03-02 12:53:32,Mare,Cripta épica de nivel 20
2026-03-02 12:53:41,Mare,Cripta de nivel 20
2026-03-02 12:53:55,Mare,Cripta de nivel 10
2026-03-02 12:54:07,Mare,Cripta de nivel 10
2026-03-02 12:54:13,Mare,Cripta de nivel 25
2026-03-02 12:54:23,Mare,Cripta de nivel 15
2026-03-02 12:54:38,Mare,Cripta de nivel 20
2026-03-02 12:54:45,Mare,Cripta de nivel 20
2026-03-02 12:54:54,nn,
2026-03-03 00:14:00,Aaron,Ciudadela de nivel 10
2026-03-03 00:14:10,Gustavo,Cripta de nivel 5
2026-03-03 00:14:25,Mared,Cripta de nivel 5
2026-03-03 00:14:42,Mared,Cripta de nivel 10
2026-03-03 00:15:05,Mared,Ciudadela de nivel 15
2026-03-03 00:15:29,Feli,Cripta épica de nivel 20
2026-03-03 00:15:59,Feli,Cripta de nivel 25
2026-03-03 00:16:23,Feli,Cripta épica de nivel 15
2026-03-03 00:16:43,Feli,Cripta épica de nivel 15
2026-03-03 00:16:58,Feli,Cripta de nivel 15
2026-03-03 00:17:19,Boy Name.,-Ciudadela de nivel 20
2026-03-03 00:17:42,Gratius,Cripta de nivel 10
2026-03-03 00:17:57,Boy Name.,-Ciudadela de nivel 20
2026-03-03 00:18:12,Yime,Cripta de nivel 20
2026-03-03 00:18:26,Yime,Cripta de nivel 20
2026-03-03 00:18:40,Yime,Cripta de nivel 20
2026-03-03 00:18:59,Yime,Cripta de nivel 20
2026-03-03 00:19:20,Yime,Cripta de nivel 20
2026-03-03 00:19:45,Yime,Cripta épica de nivel 20
2026-03-03 00:20:05,Boy Name.,-Ciudadela de nivel 15
2026-03-03 00:20:18,Boy Name.,-Ciudadela de nivel 10
2026-03-03 00:20:36,Boy Name.,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:20:52,Boy Name.,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:21:08,Boy Name.,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:21:26,Boy Name.,-Ciudadela de nivel 10
2026-03-03 00:21:50,Mare,Cripta de nivel 25
2026-03-03 00:22:18,Boy Name.,Monstruo heroico de nivel 17
2026-03-03 00:22:37,Mare,Cripta de nivel 20
2026-03-03 00:22:52,Eypenani,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:23:07,Eypenani,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:23:33,Eypenani,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:23:56,Biin,Cripta épica de nivel 20
2026-03-03 00:24:17,Mare,Cripta de nivel 20
2026-03-03 00:24:32,Boy Name.,Monstruo heroico de nivel 17
2026-03-03 00:24:47,Feli,Cripta de nivel 25
2026-03-03 00:25:04,Pocovita,Cripta rara de nivel.10
2026-03-03 00:25:22,Feli,Cripta de nivel 25
2026-03-03 00:25:35,Feli,Cripta rara de nivel.10
2026-03-03 00:25:50,Boy Name.,Monstruo heroico de nivel 17
2026-03-03 00:26:03,Mauro,"Recompensa personal de ""Unién del triunfo"""
2026-03-03 00:26:15,Mauro,"Recompensa personal de ""Unién del triunfo"""
2026-03-03 00:26:32,Mauro,"Recompensa personal de ""Unién del triunfo"""
2026-03-03 00:26:47,Feli,Cripta de nivel 15
2026-03-03 00:27:01,Feli,Cripta de nivel 15
2026-03-03 00:27:13,Eypenani,-Cripta de nivel 10
2026-03-03 00:27:25,lau,"Recompensa personal de ""Unién del triunfo"""
2026-03-03 00:27:36,lau,"Recompensa personal de ""Unién del triunfo"""
2026-03-03 00:27:46,lau,"Recompensa personal de ""Unién del triunfo"""
2026-03-03 00:27:57,Pocovita,Cripta de nivel 10
2026-03-03 00:28:09,Dacely,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:28:21,Dacely,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:28:33,Dacely,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:28:42,Dacely,"-Recompensa personal de “Unién del triunfo"""
2026-03-03 00:28:54,Biin,Cripta de nivel 10
2026-03-03 00:29:06,Biin,Cripta de nivel 10
2026-03-03 00:29:19,lau,Cripta de nivel 15
2026-03-03 00:29:31,Durdy 7777,Cripta épica de nivel 15
2026-03-03 00:29:42,Pocovita,Cripta de nivel 10
2026-03-03 00:29:55,Durdy 7777,Cripta de nivel 15
2026-03-03 00:30:13,Durdy 7777,Cripta de nivel 15
2026-03-03 00:30:32,Pocovita,Cripta de nivel 10
2026-03-03 00:30:48,ASTERIA,"Recompensa personal de ""Unién del triunfo"""
2026-03-03 00:31:00,ASTERIA,"Recompensa personal de ""Unién del triunfo"""
2026-03-03 00:31:16,Boy Name.,-Ciudadela de nivel 10
2026-03-03 00:31:29,Boy Name.,-Ciudadela de nivel 10
2026-03-03 00:31:43,Biin,Cripta épica de nivel 15
2026-03-03 00:31:58,Durdy 7777,Cripta de nivel 5
2026-03-03 00:32:10,Durdy 7777,Cripta de nivel 5
2026-03-03 00:32:23,Gratius,Cripta de nivel 5
2026-03-03 00:32:36,Durdy 7777,Cripta de nivel 15
2026-03-03 00:32:48,Boy Name.,-Ciudadela de nivel 10
2026-03-03 00:33:00,Boy Name.,Cripta de nivel 25
2026-03-03 00:33:16,Pocovita,Cripta de nivel 10
2026-03-03 00:33:37,Maginad,-Cripta de nivel 5
2026-03-03 00:33:58,Boy Name.,Cripta de nivel 10
2026-03-03 00:34:10,lau,Cripta de nivel 15
2026-03-03 00:34:19,Durdy 7777,Cripta de nivel 15
2026-03-03 00:34:30,Boy Name.,Cripta de nivel 10
2026-03-03 00:34:43,Feli,Béveda de los antiguas de nivel 20-24
2026-03-03 00:34:56,Gratius,Cripta de nivel 5
2026-03-03 00:35:09,Pocovita,Cripta rara de nivel.10
2026-03-03 00:35:19,Mared,Cripta de nivel 15
2026-03-03 00:35:32,Pocovita,Cripta de nivel 10
2026-03-03 00:35:42,Pocovita,Cripta de nivel 15
2026-03-03 00:35:56,Biin,Cripta de nivel 15
2026-03-03 00:36:12,Pocovita,Cripta de nivel 10
2026-03-03 00:36:24,Tysojind,-Cripta de nivel 10
2026-03-03 00:36:34,Gratius,Cripta de nivel 10
2026-03-03 00:36:42,lau,Cripta de nivel 15
2026-03-03 00:36:50,Pocovita,Cripta de nivel 10
2026-03-03 00:36:57,Pocovita,Cripta de nivel 10
2026-03-03 00:37:10,Mauro,Cripta de nivel 20
2026-03-03 00:37:20,Maginad,-Cripta de nivel 10
2026-03-03 00:37:26,Mauro,Cripta de nivel 15
2026-03-03 00:37:34,Mauro,Cripta de nivel 15
2026-03-03 00:37:40,Mared,Cripta de nivel 15
2026-03-03 00:37:44,Durdy 7777,Cripta de nivel 5
2026-03-03 00:37:51,Durdy 7777,Cripta de nivel 15
2026-03-03 00:37:56,Mared,Cripta épica de nivel 15
2026-03-03 00:38:03,lau,Cripta de nivel 15
2026-03-03 00:38:10,Saberflame,Cripta de nivel 25
2026-03-03 00:38:21,Saberflame,Cripta de nivel 25
2026-03-03 00:38:34,Mared,Cripta de nivel 15
2026-03-03 00:38:45,Mared,Cripta de nivel 15
